record_id,date,year,month,state,port_of_entry,chemical_name,quantity_kg,declared_purpose,importer_name,is_anomaly
PC000001,2023-12-08,2023,12,Maharashtra,Nhava Sheva (JNPT),Ephedrine,43.2,Pharmaceutical,Importer_1698,False
PC000002,2023-07-12,2023,7,West Bengal,Kolkata Port,Ephedrine,38.7,Pharmaceutical,Importer_2430,False
PC000003,2023-01-13,2023,1,Delhi,Delhi Air Cargo,Ephedrine,63.1,Textile/Dye,Importer_5202,False
PC000004,2022-02-13,2022,2,Gujarat,Mundra Port,Toluene,329.1,Agrochemical,Importer_7225,False
PC000005,2021-06-22,2021,6,West Bengal,Kolkata Port,Potassium Permanganate,180.7,Textile/Dye,Importer_1840,False
PC000006,2018-03-10,2018,3,West Bengal,Kolkata Port,Ephedrine,55.5,Agrochemical,Importer_8189,False
PC000007,2019-06-03,2019,6,West Bengal,Kolkata Port,Piperonal,242.5,Pharmaceutical,Importer_1941,True
PC000008,2020-09-19,2020,9,Delhi,Delhi Air Cargo,Acetic Anhydride,592.2,Agrochemical,Importer_7587,False
PC000009,2024-11-10,2024,11,West Bengal,Kolkata Port,Acetic Anhydride,584.8,Industrial Solvent,Importer_5616,False
PC000010,2022-05-08,2022,5,Delhi,Delhi Air Cargo,Pseudoephedrine,93.4,Industrial Solvent,Importer_7289,False
PC000011,2022-06-15,2022,6,Maharashtra,Nhava Sheva (JNPT),Potassium Permanganate,189.0,Agrochemical,Importer_3397,False
PC000012,2020-02-19,2020,2,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,539.3,Agrochemical,Importer_4309,False
PC000013,2022-03-23,2022,3,Gujarat,Kandla Port,Piperonal,24.5,Textile/Dye,Importer_6413,False
PC000014,2019-01-01,2019,1,Gujarat,Kandla Port,Acetic Anhydride,519.4,Industrial Solvent,Importer_1160,False
PC000015,2023-01-22,2023,1,Gujarat,Mundra Port,Toluene,1052.9,Pharmaceutical,Importer_5162,False
PC000016,2019-06-14,2019,6,Tamil Nadu,Chennai Port,Pseudoephedrine,89.6,Pharmaceutical,Importer_4667,False
PC000017,2024-03-19,2024,3,Kerala,Cochin Port,Piperonal,26.8,Textile/Dye,Importer_7506,False
PC000018,2019-07-14,2019,7,Delhi,Delhi Air Cargo,Piperonal,39.5,Agrochemical,Importer_7968,False
PC000019,2018-05-05,2018,5,Delhi,Delhi Air Cargo,Piperonal,36.5,Pharmaceutical,Importer_5736,False
PC000020,2019-12-01,2019,12,Kerala,Cochin Port,Pseudoephedrine,53.7,Industrial Solvent,Importer_2654,False
PC000021,2018-05-04,2018,5,Gujarat,Kandla Port,Potassium Permanganate,402.5,Textile/Dye,Importer_2857,False
PC000022,2023-11-25,2023,11,Maharashtra,Nhava Sheva (JNPT),Piperonal,39.8,Agrochemical,Importer_5028,False
PC000023,2022-01-18,2022,1,Delhi,Delhi Air Cargo,Ephedrine,559.8,Pharmaceutical,Importer_7314,True
PC000024,2024-11-18,2024,11,Tamil Nadu,Chennai Port,Potassium Permanganate,251.8,Industrial Solvent,Importer_8149,False
PC000025,2020-09-16,2020,9,Maharashtra,Nhava Sheva (JNPT),Ephedrine,529.3,Agrochemical,Importer_8062,True
PC000026,2022-12-19,2022,12,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,606.8,Agrochemical,Importer_8519,False
PC000027,2022-06-16,2022,6,Tamil Nadu,Chennai Port,Pseudoephedrine,58.9,Pharmaceutical,Importer_7312,False
PC000028,2023-10-23,2023,10,Tamil Nadu,Chennai Port,Piperonal,48.3,Agrochemical,Importer_4403,False
PC000029,2020-08-27,2020,8,Gujarat,Mundra Port,Acetic Anhydride,637.1,Textile/Dye,Importer_7369,False
PC000030,2019-02-13,2019,2,Tamil Nadu,Chennai Port,Acetic Anhydride,675.9,Agrochemical,Importer_1493,False
