seizure_id,date,year,month,state,district,latitude,longitude,drug_type,quantity_kg,agency
SZ000001,2024-06-03,2024,6,Karnataka,Mangaluru,15.7378,76.1677,Heroin,5.81,NCB
SZ000002,2020-03-26,2020,3,Manipur,Churachandpur,24.5695,93.4736,Cocaine,0.77,State Police
SZ000003,2022-10-05,2022,10,Punjab,Tarn Taran,31.779,75.7854,Cannabis (Ganja),220.56,NCB
SZ000004,2018-07-05,2018,7,Manipur,Chandel,25.408,93.6313,Methamphetamine,2.33,State Police
SZ000005,2019-03-19,2019,3,Manipur,Chandel,24.5594,94.4423,Cannabis (Ganja),35.63,Customs
SZ000006,2023-06-22,2023,6,Maharashtra,Nagpur,20.042,75.1336,Cannabis (Ganja),33.61,NCB
SZ000007,2022-10-13,2022,10,Punjab,Ludhiana,31.26,74.7637,Methamphetamine,1.7,NCB
SZ000008,2021-11-16,2021,11,Odisha,Koraput,21.0357,85.1947,Methamphetamine,12.64,NCB
SZ000009,2019-06-08,2019,6,Punjab,Ferozepur,30.4433,74.9902,Ketamine,1.0,NCB
SZ000010,2022-07-22,2022,7,Odisha,Cuttack,21.4524,84.5672,Cocaine,0.58,NCB
SZ000011,2021-09-20,2021,9,Punjab,Ludhiana,31.4641,75.2539,Charas/Hashish,1.5,State Police
SZ000012,2022-08-10,2022,8,Maharashtra,Mumbai,20.489,76.3637,Heroin,2.01,Customs
SZ000013,2023-12-08,2023,12,Maharashtra,Nashik,19.1042,76.3542,Charas/Hashish,3.04,State Police
SZ000014,2020-10-16,2020,10,Gujarat,Ahmedabad,22.6736,71.5411,Heroin,2.74,State Police
SZ000015,2022-08-17,2022,8,West Bengal,Kolkata,22.9804,87.5878,Cannabis (Ganja),8.47,NCB
SZ000016,2022-10-05,2022,10,Rajasthan,Jaisalmer,26.775,74.3655,Pharmaceutical Opioids,3.53,NCB
SZ000017,2023-06-02,2023,6,Haryana,Sirsa,29.7605,76.2048,Charas/Hashish,2.29,State Police
SZ000018,2020-07-15,2020,7,Maharashtra,Mumbai,20.2721,76.3439,Cannabis (Ganja),3.45,NCB
SZ000019,2022-02-04,2022,2,Assam,Cachar,26.6298,92.3124,Cocaine,4.87,BSF
SZ000020,2018-02-15,2018,2,Gujarat,Porbandar,22.7532,70.8974,Cannabis (Ganja),227.97,DRI
SZ000021,2019-07-27,2019,7,Maharashtra,Nashik,19.6462,76.4978,Heroin,0.74,BSF
SZ000022,2024-03-25,2024,3,Kerala,Kollam,11.2852,76.5287,Charas/Hashish,8.74,State Police
SZ000023,2020-09-01,2020,9,Rajasthan,Kota,27.5498,73.6653,Cannabis (Ganja),16.83,NCB
SZ000024,2024-01-06,2024,1,Assam,Dibrugarh,26.9549,92.9412,Cannabis (Ganja),53.29,NCB
SZ000025,2019-03-01,2019,3,Punjab,Amritsar,31.4608,75.4698,Heroin,2.74,NCB
SZ000026,2023-02-20,2023,2,Karnataka,Mangaluru,16.0041,75.5461,Heroin,1.33,NCB
SZ000027,2024-08-15,2024,8,Manipur,Churachandpur,24.7483,94.1244,Pharmaceutical Opioids,0.34,NCB
SZ000028,2021-01-27,2021,1,Rajasthan,Barmer,27.507,74.1678,Opium,21.5,Customs
SZ000029,2023-02-07,2023,2,Punjab,Ludhiana,31.3196,75.9284,Cannabis (Ganja),235.1,State Police
SZ000030,2020-12-12,2020,12,Uttar Pradesh,Ghaziabad,26.7762,80.5465,Cocaine,4.28,NCB
SZ000031,2018-10-24,2018,10,Kerala,Kollam,11.3695,75.9665,Opium,1.06,NCB
SZ000032,2019-02-08,2019,2,Jammu and Kashmir,Srinagar,33.0138,75.8686,Heroin,2.04,NCB
SZ000033,2022-08-22,2022,8,Punjab,Gurdaspur,31.75,75.9018,Cannabis (Ganja),21.58,NCB
SZ000034,2019-03-07,2019,3,Gujarat,Porbandar,21.5388,70.9878,Opium,11.15,State Police
SZ000035,2018-11-11,2018,11,Rajasthan,Jaisalmer,27.6642,74.9873,Heroin,0.98,Coast Guard
SZ000036,2022-08-22,2022,8,Karnataka,Belagavi,15.3428,76.2821,Heroin,4.66,State Police
SZ000037,2020-08-02,2020,8,Uttar Pradesh,Ghaziabad,26.4221,80.738,Charas/Hashish,3.38,State Police
SZ000038,2020-03-19,2020,3,Delhi,New Delhi,29.3662,77.0695,Cannabis (Ganja),139.99,NCB
SZ000039,2022-11-06,2022,11,Mizoram,Lunglei,22.821,93.3158,Charas/Hashish,1.18,NCB
SZ000040,2024-12-04,2024,12,Andhra Pradesh,Anantapur,16.2711,79.0752,Opium,1.45,BSF
SZ000041,2023-12-11,2023,12,Rajasthan,Bikaner,27.7336,73.8254,Methamphetamine,4.02,State Police
SZ000042,2022-03-05,2022,3,Rajasthan,Jodhpur,26.9656,74.2562,Opium,8.8,Customs
SZ000043,2022-06-04,2022,6,Karnataka,Mangaluru,14.6603,75.9626,Heroin,2.18,State Police
SZ000044,2022-09-10,2022,9,Karnataka,Belagavi,14.9529,75.4927,Pharmaceutical Opioids,26.08,NCB
SZ000045,2024-02-15,2024,2,Rajasthan,Bikaner,27.1048,74.9178,Cannabis (Ganja),38.82,Customs
SZ000046,2020-08-27,2020,8,Manipur,Imphal West,24.0496,94.4709,Methamphetamine,1.94,State Police
SZ000047,2022-08-15,2022,8,Rajasthan,Jodhpur,26.6926,74.1537,Charas/Hashish,10.78,State Police
SZ000048,2024-09-22,2024,9,Maharashtra,Mumbai,20.289,75.0803,Heroin,1.72,DRI
SZ000049,2018-08-19,2018,8,Odisha,Bhubaneswar,20.3788,85.5428,Heroin,1.28,NCB
SZ000050,2022-11-01,2022,11,Jammu and Kashmir,Poonch,33.9495,77.0624,Heroin,0.68,NCB
SZ000051,2023-01-27,2023,1,Bihar,Patna,25.6408,84.5742,Methamphetamine,13.5,NCB
SZ000052,2021-07-21,2021,7,Rajasthan,Bikaner,26.4683,74.5954,Cocaine,2.34,NCB
SZ000053,2024-09-21,2024,9,Maharashtra,Mumbai,19.0178,76.3246,Heroin,5.52,Customs
SZ000054,2018-10-05,2018,10,Gujarat,Ahmedabad,22.7145,71.4083,Poppy Husk,355.24,State Police
SZ000055,2020-12-12,2020,12,Rajasthan,Barmer,27.725,73.6575,Methamphetamine,3.16,State Police
SZ000056,2021-02-04,2021,2,Uttar Pradesh,Varanasi,26.5375,80.8346,Heroin,0.12,State Police
SZ000057,2021-05-23,2021,5,West Bengal,Nadia,22.2477,87.7294,Opium,12.01,State Police
SZ000058,2022-05-16,2022,5,Gujarat,Porbandar,22.5039,70.8959,Methamphetamine,9.24,Customs
SZ000059,2022-06-15,2022,6,Mizoram,Aizawl,23.7782,93.6137,Charas/Hashish,18.31,State Police
SZ000060,2023-03-09,2023,3,Mizoram,Champhai,22.5454,92.2553,MDMA,0.96,Coast Guard
SZ000061,2020-04-14,2020,4,Punjab,Amritsar,30.3735,75.8635,Cannabis (Ganja),75.09,BSF
SZ000062,2019-03-17,2019,3,Delhi,New Delhi,29.4335,77.8927,Heroin,3.89,Customs
SZ000063,2023-09-21,2023,9,Maharashtra,Nashik,19.2845,75.7501,Cocaine,0.05,NCB
SZ000064,2023-12-27,2023,12,Rajasthan,Barmer,27.8045,73.6466,Opium,8.94,State Police
SZ000065,2023-01-02,2023,1,Uttar Pradesh,Kanpur,26.3395,81.6014,Charas/Hashish,1.84,NCB
SZ000066,2020-03-14,2020,3,Gujarat,Surat,21.5946,70.7799,Opium,19.43,Coast Guard
SZ000067,2022-08-22,2022,8,West Bengal,Malda,23.0532,87.6015,Heroin,0.99,Coast Guard
SZ000068,2023-09-24,2023,9,Manipur,Chandel,24.7994,94.4704,Charas/Hashish,28.92,NCB
SZ000069,2018-07-01,2018,7,Mizoram,Lunglei,22.644,92.6822,Pharmaceutical Opioids,1.6,NCB
SZ000070,2024-09-13,2024,9,Punjab,Ferozepur,30.3617,74.9848,Cannabis (Ganja),59.73,Customs
SZ000071,2022-12-24,2022,12,West Bengal,Malda,23.3431,88.6011,Methamphetamine,6.13,Customs
SZ000072,2018-07-20,2018,7,Bihar,Gaya,25.3466,86.0617,Charas/Hashish,6.9,DRI
SZ000073,2023-09-18,2023,9,Maharashtra,Thane,20.1937,75.6935,Heroin,0.1,DRI
SZ000074,2024-03-12,2024,3,Manipur,Imphal West,24.7487,94.3933,MDMA,0.15,BSF
SZ000075,2020-01-26,2020,1,Madhya Pradesh,Bhopal,23.3112,79.098,Heroin,4.55,BSF
SZ000076,2023-05-02,2023,5,Tamil Nadu,Chennai,11.703,77.8672,Cannabis (Ganja),27.74,State Police
SZ000077,2021-01-19,2021,1,Andhra Pradesh,Guntur,16.4744,79.4969,Methamphetamine,1.0,BSF
SZ000078,2022-06-11,2022,6,Maharashtra,Thane,19.2501,75.0457,Cannabis (Ganja),167.25,NCB
SZ000079,2024-10-18,2024,10,Tamil Nadu,Coimbatore,11.2498,79.4561,Cannabis (Ganja),24.06,Customs
SZ000080,2020-06-25,2020,6,Assam,Cachar,25.9846,92.2475,Charas/Hashish,2.78,NCB
